time,price,nav
2017-10-13,820.95,35104.95
2017-10-16,819.43,35308.13
2017-10-17,828.29,35391.42
2017-10-18,827.72,35633.38
2017-10-19,828.93,35490.56
2017-10-20,826.84,35533.9
2017-10-23,820.04,35175.77
2017-10-24,825.24,34792.37
2017-10-25,830.69,34994.41
2017-10-26,830.11,35248.07
2017-10-27,840.37,35107.89
2017-10-30,845.2,35279.82
2017-10-31,837.28,35197.61
2017-11-01,842.71,35069.14
2017-11-02,833.09,35039.82
2017-11-03,843.73,34382.72
2017-11-06,849.09,34778.38
2017-11-07,850.33,35137.69
2017-11-08,859.7,35120.59
2017-11-09,860.4,35626.1
2017-11-10,868.21,35804.96
2017-11-13,879.34,36198.8
2017-11-14,880.9,36563.92
2017-11-15,882.59,36851.94
2017-11-16,892.8,37018.68
2017-11-17,890.69,37395.54
2017-11-20,903.55,37262.13
2017-11-21,918.3,37600.08
2017-11-22,932.66,37709.9
2017-11-23,933.7,38151.59
2017-11-24,935.57,38292.65
2017-11-27,938.61,38478.37
2017-11-28,941.21,38372.81
2017-11-29,952.14,38478.07
2017-11-30,949.93,38983.74
2017-12-01,960.33,39133.5
2017-12-04,970.02,39387.2
2017-12-05,953.3,39753.69
2017-12-06,947.64,39028.64
2017-12-07,938.65,38847.32
2017-12-08,940.16,39041.05
2017-12-11,917.45,38879.85
2017-12-12,927.25,38301.56
2017-12-13,924.4,38387.2
2017-12-14,935.85,38229.54
2017-12-15,935.16,38766.28
2017-12-18,958.06,39204.23
2017-12-19,951.42,39612.9
2017-12-20,953.51,39485.73
2017-12-21,946.06,39425.58
2017-12-22,952.32,39269.09
2017-12-25,958.31,39684.5
2017-12-26,965.93,39663.93
2017-12-27,968.46,39833.3
2017-12-28,976.72,39936.23
2017-12-29,984.24,40334.81
2018-01-02,995.77,40768.7
2018-01-03,1005.67,41429.32
2018-01-04,1019.75,41533.55
2018-01-05,1012.65,41962.73
2018-01-08,1022.9,42075.96
2018-01-09,1033.56,42495.63
2018-01-10,1038.11,42833.37
2018-01-11,1048.17,42913.7
2018-01-12,1050.11,42926.38
2018-01-15,1063.47,42842.66
2018-01-16,1062.96,43181.96
2018-01-17,1034.69,43220.19
2018-01-18,1050.25,42408.05
2018-01-19,1062.07,42841.74
2018-01-22,1087.42,43288.05
2018-01-25,1104.57,44290.52
2018-01-26,1115.64,44840.82
2018-01-29,1109.8,44984.03
2018-01-30,1110.56,44680.67
2018-01-31,1110.36,44947.73
2018-02-01,1099.67,44872.67
2018-02-02,1105.04,44599.11
2018-02-05,1048.71,44783.01
2018-02-06,1011.6,43024.23
2018-02-07,1040.55,41722.22
2018-02-08,1023.25,42936.0
2018-02-09,1003.94,42485.69
2018-02-12,1041.79,42207.24
2018-02-13,1059.73,43382.85
2018-02-21,1087.15,44157.54
2018-02-22,1076.03,44881.73
2018-02-23,1102.85,44391.29
2018-02-26,1114.53,45124.68
2018-02-27,1119.61,45146.83
2018-02-28,1121.54,45495.29
2018-03-01,1115.79,45717.84
2018-03-02,1121.21,45728.96
2018-03-05,1093.48,46097.62
2018-03-06,1120.29,45171.94
2018-03-07,1112.26,46186.47
2018-03-08,1124.15,45751.0
2018-03-09,1123.41,46231.94
2018-03-12,1126.29,46304.92
2018-03-13,1133.31,46391.1
2018-03-14,1138.09,46556.4
2018-03-15,1138.76,46627.92
2018-03-16,1150.19,46527.58
2018-03-19,1159.22,47051.61
2018-03-20,1159.39,47377.65
2018-03-21,1169.36,47600.29
2018-03-22,1172.36,47675.55
2018-03-23,1153.59,47664.94
2018-03-26,1171.22,47002.43
2018-03-27,1171.73,47619.65
2018-03-28,1172.24,47833.01
2018-03-29,1167.03,47917.01
2018-03-30,1174.46,47868.68
2018-04-02,1196.61,48258.35
2018-04-03,1188.29,48984.85
2018-04-04,1191.54,48678.67
2018-04-05,1193.17,48825.42
2018-04-06,1199.96,48962.75
2018-04-09,1204.33,49162.07
2018-04-10,1198.12,49328.49
2018-04-11,1167.11,49190.14
2018-04-12,1173.02,48183.1
2018-04-13,1157.14,48446.54
2018-04-16,1148.49,47899.96
2018-04-17,1153.28,47647.52
2018-04-18,1138.53,47802.79
2018-04-19,1094.63,47332.24
2018-04-20,1119.86,45944.72
2018-04-23,1076.78,46688.42
2018-04-24,1080.74,45119.73
2018-04-26,1044.86,45027.49
2018-04-27,1050.26,43658.66
2018-05-02,1029.08,44193.17
2018-05-03,1026.46,43649.62
2018-05-04,1026.8,43733.78
2018-05-07,1062.26,43699.39
2018-05-08,1060.45,45062.58
2018-05-09,1056.97,44756.15
